year,Team,TeamStrength
1958,AGS Ford,0.507900059223175
1959,AGS Ford,0.6242084503173828
1960,AGS Ford,0.6869540214538574
1961,AGS Ford,0.7087175846099854
1962,AGS Ford,0.7045767307281494
1963,AGS Ford,0.6871277093887329
1964,AGS Ford,0.6651711463928223
1965,AGS Ford,0.6440140008926392
1966,AGS Ford,0.6263041496276855
1967,AGS Ford,0.6128901243209839
1968,AGS Ford,0.6035240888595581
1969,AGS Ford,0.5973789095878601
1970,AGS Ford,0.5934061408042908
1971,AGS Ford,0.5905798673629761
1972,AGS Ford,0.5880675315856934
1973,AGS Ford,0.5853555798530579
1974,AGS Ford,0.5823465585708618
1975,AGS Ford,0.5794186592102051
1976,AGS Ford,0.5774208307266235
1977,AGS Ford,0.5775591731071472
1978,AGS Ford,0.5811228156089783
1979,AGS Ford,0.5890154242515564
1980,AGS Ford,0.6010875105857849
1981,AGS Ford,0.615309476852417
1982,AGS Ford,0.6269016861915588
1983,AGS Ford,0.6277049779891968
1984,AGS Ford,0.606354832649231
1985,AGS Ford,0.5500540137290955
1986,AGS Ford,0.4484085440635681
1987,AGS Ford,0.2140953242778778
1988,AGS Ford,0.30010032653808594
1989,AGS Ford,0.1577930897474289
1990,AGS Ford,0.38717103004455566
1991,AGS Ford,0.48815369606018066
1992,AGS Ford,0.5608360767364502
1993,AGS Ford,0.6097205281257629
1994,AGS Ford,0.6383553743362427
1995,AGS Ford,0.6506488919258118
1996,AGS Ford,0.6508498191833496
1997,AGS Ford,0.6431565284729004
1998,AGS Ford,0.6312993764877319
1999,AGS Ford,0.6182479858398438
2000,AGS Ford,0.6060911417007446
2001,AGS Ford,0.5960679054260254
2002,AGS Ford,0.5887033343315125
2003,AGS Ford,0.5839926600456238
2004,AGS Ford,0.5815862417221069
2005,AGS Ford,0.5809428691864014
2006,AGS Ford,0.581436812877655
2007,AGS Ford,0.5824209451675415
2008,AGS Ford,0.5832585096359253
2009,AGS Ford,0.5833496451377869
2010,AGS Ford,0.5821778774261475
2011,AGS Ford,0.5794051885604858
2012,AGS Ford,0.5750263333320618
2013,AGS Ford,0.5695741176605225
2014,AGS Ford,0.5643243193626404
2015,AGS Ford,0.5614086985588074
2016,AGS Ford,0.5637051463127136
2017,AGS Ford,0.5743696689605713
2018,AGS Ford,0.5959138870239258
2019,AGS Ford,0.6287777423858643
2020,AGS Ford,0.6693369150161743
2021,AGS Ford,0.7073566913604736
2022,AGS Ford,0.723670244216919
2023,AGS Ford,0.6908819675445557
2024,AGS Ford,0.5816487669944763
2025,AGS Ford,0.3602086901664734
2026,AGS Ford,0.2623216509819031
2027,AGS Ford,0.23842091858386993
2028,AGS Ford,0.23267102241516113
2029,AGS Ford,0.23129287362098694
2030,AGS Ford,0.2309628576040268
1958,ATS Ford,0.5078447461128235
1959,ATS Ford,0.6242812275886536
1960,ATS Ford,0.6871546506881714
1961,ATS Ford,0.7089483737945557
1962,ATS Ford,0.7045878171920776
1963,ATS Ford,0.6864789724349976
1964,ATS Ford,0.6632392406463623
1965,ATS Ford,0.6400778293609619
1966,ATS Ford,0.6197341680526733
1967,ATS Ford,0.6034525632858276
1968,ATS Ford,0.5917723178863525
1969,ATS Ford,0.5850502252578735
1970,ATS Ford,0.5836781859397888
1971,ATS Ford,0.5879777669906616
1972,ATS Ford,0.5977762937545776
1973,ATS Ford,0.6116966605186462
1974,ATS Ford,0.6262335777282715
1975,ATS Ford,0.6347897052764893
1976,ATS Ford,0.6270889043807983
1977,ATS Ford,0.5897794365882874
1978,ATS Ford,0.5091503262519836
1979,ATS Ford,0.30591753125190735
1980,ATS Ford,0.35205739736557007
1981,ATS Ford,0.17568744719028473
1982,ATS Ford,0.22190609574317932
1983,ATS Ford,0.4358435869216919
1984,ATS Ford,0.5261937379837036
1985,ATS Ford,0.587011456489563
1986,ATS Ford,0.6256059408187866
1987,ATS Ford,0.6467107534408569
1988,ATS Ford,0.6543449759483337
1989,ATS Ford,0.6523051857948303
1990,ATS Ford,0.6441123485565186
1991,ATS Ford,0.6327985525131226
1992,ATS Ford,0.6207355260848999
1993,ATS Ford,0.6095676422119141
1994,ATS Ford,0.6002519130706787
1995,ATS Ford,0.5931711792945862
1996,ATS Ford,0.5882841944694519
1997,ATS Ford,0.5852817893028259
1998,ATS Ford,0.5837249755859375
1999,ATS Ford,0.5831546187400818
2000,ATS Ford,0.5831661820411682
